Informant,PQ1,PQ2,PQ3,PQ4,PQ5,PQ6,PQ7,PQ8,PQ9,PQ10,PQ11,PQ12,PQ13,PQ14,PQ15,PQ16,PQ17,PQ18,PQ19,PQ20
P1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
P2,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1
P3,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1
P4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
P5,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1
P6,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
P7,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1
P8,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
P9,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
P10,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1
